Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Scaling Ab Initio Predictions of 3D Protein Structures in Microsoft Azure Cloud;Journal of Grid Computing;;13;4;10.1007/s10723-015-9353-8;Dariusz MrozekPaweł GoskBożena Małysiak-Mrozek;2015;http://link.springer.com/article/10.1007/s10723-015-9353-8;Article;"Scaling Ab Initio Predictions of 3D Protein Structures in Microsoft Azure Cloud,""Journal of Grid Computing"","""",""13"",""4"",""10.1007/s10723-015-9353-8"",""Dariusz MrozekPaweł GoskBożena Małysiak-Mrozek"",""2015"",""http://link.springer.com/article/10.1007/s10723-015-9353-8"",""Article"""
WebSphere Platform Performance, Tuning, and Optimization;Maximizing Performance and Scalability with IBM WebSphere;;;;10.1007/978-1-4302-0801-3_6;Adam Neat;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0801-3_6;Chapter;"WebSphere Platform Performance, Tuning, and Optimization,""Maximizing Performance and Scalability with IBM WebSphere"","""","""","""",""10.1007/978-1-4302-0801-3_6"",""Adam Neat"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0801-3_6"",""Chapter"""
A Scalable Testing Framework for Location-Based Services;Journal of Computer Science and Technology;;24;2;10.1007/s11390-009-9232-5;Jiang YuAndrew TappendenJames MillerMichael Smith;2009;http://link.springer.com/article/10.1007/s11390-009-9232-5;Article;"A Scalable Testing Framework for Location-Based Services,""Journal of Computer Science and Technology"","""",""24"",""2"",""10.1007/s11390-009-9232-5"",""Jiang YuAndrew TappendenJames MillerMichael Smith"",""2009"",""http://link.springer.com/article/10.1007/s11390-009-9232-5"",""Article"""
WESSBAS: extraction of probabilistic workload specifications for load testing and performance prediction—a model-driven approach for session-based application systems;Software & Systems Modeling;;17;2;10.1007/s10270-016-0566-5;Christian VögeleAndré van HoornEike SchulzWilhelm HasselbringHelmut Krcmar;2018;http://link.springer.com/article/10.1007/s10270-016-0566-5;Article;"WESSBAS: extraction of probabilistic workload specifications for load testing and performance prediction—a model-driven approach for session-based application systems,""Software & Systems Modeling"","""",""17"",""2"",""10.1007/s10270-016-0566-5"",""Christian VögeleAndré van HoornEike SchulzWilhelm HasselbringHelmut Krcmar"",""2018"",""http://link.springer.com/article/10.1007/s10270-016-0566-5"",""Article"""
SoftArch/MTE: Generating Distributed System Test-Beds from High-Level Software Architecture Descriptions;Automated Software Engineering;;12;1;10.1023/B:AUSE.0000049207.62380.74;John GrundyYuhong CaiAnna Liu;2005;http://link.springer.com/article/10.1023/B%3AAUSE.0000049207.62380.74;Article;"SoftArch/MTE: Generating Distributed System Test-Beds from High-Level Software Architecture Descriptions,""Automated Software Engineering"","""",""12"",""1"",""10.1023/B:AUSE.0000049207.62380.74"",""John GrundyYuhong CaiAnna Liu"",""2005"",""http://link.springer.com/article/10.1023/B%3AAUSE.0000049207.62380.74"",""Article"""
Administering and Scaling Plone;The Definitive Guide to Plone;;;;10.1007/978-1-4302-0734-4_14;Andy McKay;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0734-4_14;Chapter;"Administering and Scaling Plone,""The Definitive Guide to Plone"","""","""","""",""10.1007/978-1-4302-0734-4_14"",""Andy McKay"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0734-4_14"",""Chapter"""
Two-level parallelization of Ehrenfest force calculations in ab initio molecular dynamics simulation;Cluster Computing;;15;3;10.1007/s10586-012-0217-8;Hongjian LiShixin SunHong TangYusheng DouGlenn V. Lo;2012;http://link.springer.com/article/10.1007/s10586-012-0217-8;Article;"Two-level parallelization of Ehrenfest force calculations in ab initio molecular dynamics simulation,""Cluster Computing"","""",""15"",""3"",""10.1007/s10586-012-0217-8"",""Hongjian LiShixin SunHong TangYusheng DouGlenn V. Lo"",""2012"",""http://link.springer.com/article/10.1007/s10586-012-0217-8"",""Article"""
PerfTTCN, a TTCN language extension for performance testing;Testing of Communicating Systems;;;;10.1007/978-0-387-35198-8_2;I. SchieferdeckerB. StepienA. Rennoch;1997;http://link.springer.com/chapter/10.1007/978-0-387-35198-8_2;Chapter;"PerfTTCN, a TTCN language extension for performance testing,""Testing of Communicating Systems"","""","""","""",""10.1007/978-0-387-35198-8_2"",""I. SchieferdeckerB. StepienA. Rennoch"",""1997"",""http://link.springer.com/chapter/10.1007/978-0-387-35198-8_2"",""Chapter"""
Summaries of PIE Reports;Software Quality Approaches: Testing, Verification, and Validation;;;;10.1007/978-3-642-56612-7_10;Michael HaugEric W. OlsenLuisa Consolini;2001;http://link.springer.com/chapter/10.1007/978-3-642-56612-7_10;Chapter;"Summaries of PIE Reports,""Software Quality Approaches: Testing, Verification, and Validation"","""","""","""",""10.1007/978-3-642-56612-7_10"",""Michael HaugEric W. OlsenLuisa Consolini"",""2001"",""http://link.springer.com/chapter/10.1007/978-3-642-56612-7_10"",""Chapter"""
Benefits of Parallel I/O in Ab Initio Nuclear Physics Calculations;Computational Science – ICCS 2009;;;;10.1007/978-3-642-01970-8_9;Nikhil LaghaveMasha SosonkinaPieter MarisJames P. Vary;2009;http://link.springer.com/chapter/10.1007/978-3-642-01970-8_9;Chapter;"Benefits of Parallel I/O in Ab Initio Nuclear Physics Calculations,""Computational Science – ICCS 2009"","""","""","""",""10.1007/978-3-642-01970-8_9"",""Nikhil LaghaveMasha SosonkinaPieter MarisJames P. Vary"",""2009"",""http://link.springer.com/chapter/10.1007/978-3-642-01970-8_9"",""Chapter"""
Simple linear string constraints;Formal Aspects of Computing;;25;6;10.1007/s00165-011-0214-3;Xiang FuMichael C. PowellMichael BanteguiChung-Chih Li;2013;http://link.springer.com/article/10.1007/s00165-011-0214-3;Article;"Simple linear string constraints,""Formal Aspects of Computing"","""",""25"",""6"",""10.1007/s00165-011-0214-3"",""Xiang FuMichael C. PowellMichael BanteguiChung-Chih Li"",""2013"",""http://link.springer.com/article/10.1007/s00165-011-0214-3"",""Article"""
Visual GUI testing in practice: challenges, problemsand limitations;Empirical Software Engineering;;20;3;10.1007/s10664-013-9293-5;Emil AlégrothRobert FeldtLisa Ryrholm;2015;http://link.springer.com/article/10.1007/s10664-013-9293-5;Article;"Visual GUI testing in practice: challenges, problemsand limitations,""Empirical Software Engineering"","""",""20"",""3"",""10.1007/s10664-013-9293-5"",""Emil AlégrothRobert FeldtLisa Ryrholm"",""2015"",""http://link.springer.com/article/10.1007/s10664-013-9293-5"",""Article"""
