Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Web Application Frameworks: Rails, Sinatra, and Ramaze;Beginning Ruby;;;;10.1007/978-1-4302-2364-1_13;Peter Cooper;2009;http://link.springer.com/chapter/10.1007/978-1-4302-2364-1_13;Chapter;"Web Application Frameworks: Rails, Sinatra, and Ramaze,""Beginning Ruby"","""","""","""",""10.1007/978-1-4302-2364-1_13"",""Peter Cooper"",""2009"",""http://link.springer.com/chapter/10.1007/978-1-4302-2364-1_13"",""Chapter"""
Scaling Ab Initio Predictions of 3D Protein Structures in Microsoft Azure Cloud;Journal of Grid Computing;;13;4;10.1007/s10723-015-9353-8;Dariusz MrozekPaweł GoskBożena Małysiak-Mrozek;2015;http://link.springer.com/article/10.1007/s10723-015-9353-8;Article;"Scaling Ab Initio Predictions of 3D Protein Structures in Microsoft Azure Cloud,""Journal of Grid Computing"","""",""13"",""4"",""10.1007/s10723-015-9353-8"",""Dariusz MrozekPaweł GoskBożena Małysiak-Mrozek"",""2015"",""http://link.springer.com/article/10.1007/s10723-015-9353-8"",""Article"""
Testing a Site with ApacheBench, JMeter, and Selenium;Advanced Joomla!;;;;10.1007/978-1-4302-1629-2_9;Dan Rahmel;2013;http://link.springer.com/chapter/10.1007/978-1-4302-1629-2_9;Chapter;"Testing a Site with ApacheBench, JMeter, and Selenium,""Advanced Joomla!"","""","""","""",""10.1007/978-1-4302-1629-2_9"",""Dan Rahmel"",""2013"",""http://link.springer.com/chapter/10.1007/978-1-4302-1629-2_9"",""Chapter"""
WebSphere Platform Performance, Tuning, and Optimization;Maximizing Performance and Scalability with IBM WebSphere;;;;10.1007/978-1-4302-0801-3_6;Adam Neat;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0801-3_6;Chapter;"WebSphere Platform Performance, Tuning, and Optimization,""Maximizing Performance and Scalability with IBM WebSphere"","""","""","""",""10.1007/978-1-4302-0801-3_6"",""Adam Neat"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0801-3_6"",""Chapter"""
A Scalable Testing Framework for Location-Based Services;Journal of Computer Science and Technology;;24;2;10.1007/s11390-009-9232-5;Jiang YuAndrew TappendenJames MillerMichael Smith;2009;http://link.springer.com/article/10.1007/s11390-009-9232-5;Article;"A Scalable Testing Framework for Location-Based Services,""Journal of Computer Science and Technology"","""",""24"",""2"",""10.1007/s11390-009-9232-5"",""Jiang YuAndrew TappendenJames MillerMichael Smith"",""2009"",""http://link.springer.com/article/10.1007/s11390-009-9232-5"",""Article"""
Principles of Testing with Models;Agile Modeling with UML;;;;10.1007/978-3-319-58862-9_6;Bernhard Rumpe;2017;http://link.springer.com/chapter/10.1007/978-3-319-58862-9_6;Chapter;"Principles of Testing with Models,""Agile Modeling with UML"","""","""","""",""10.1007/978-3-319-58862-9_6"",""Bernhard Rumpe"",""2017"",""http://link.springer.com/chapter/10.1007/978-3-319-58862-9_6"",""Chapter"""
WESSBAS: extraction of probabilistic workload specifications for load testing and performance prediction—a model-driven approach for session-based application systems;Software & Systems Modeling;;17;2;10.1007/s10270-016-0566-5;Christian VögeleAndré van HoornEike SchulzWilhelm HasselbringHelmut Krcmar;2018;http://link.springer.com/article/10.1007/s10270-016-0566-5;Article;"WESSBAS: extraction of probabilistic workload specifications for load testing and performance prediction—a model-driven approach for session-based application systems,""Software & Systems Modeling"","""",""17"",""2"",""10.1007/s10270-016-0566-5"",""Christian VögeleAndré van HoornEike SchulzWilhelm HasselbringHelmut Krcmar"",""2018"",""http://link.springer.com/article/10.1007/s10270-016-0566-5"",""Article"""
Benchmarking and Profiling;Pro MySQL;;;;10.1007/978-1-4302-0048-2_6;;2005;http://link.springer.com/chapter/10.1007/978-1-4302-0048-2_6;Chapter;"Benchmarking and Profiling,""Pro MySQL"","""","""","""",""10.1007/978-1-4302-0048-2_6"","""",""2005"",""http://link.springer.com/chapter/10.1007/978-1-4302-0048-2_6"",""Chapter"""
Trusted Network Interpretation;The ‘Orange Book’ Series;;;;10.1007/978-1-349-12020-8_2;;1985;http://link.springer.com/chapter/10.1007/978-1-349-12020-8_2;Chapter;"Trusted Network Interpretation,""The ‘Orange Book’ Series"","""","""","""",""10.1007/978-1-349-12020-8_2"","""",""1985"",""http://link.springer.com/chapter/10.1007/978-1-349-12020-8_2"",""Chapter"""
Chapter 1 Benchmarking Techniques;Pro PHP Application Performance;;;;10.1007/978-1-4302-2899-8_1;Armando PadillaTim Hawkins;2011;http://link.springer.com/chapter/10.1007/978-1-4302-2899-8_1;Chapter;"Chapter 1 Benchmarking Techniques,""Pro PHP Application Performance"","""","""","""",""10.1007/978-1-4302-2899-8_1"",""Armando PadillaTim Hawkins"",""2011"",""http://link.springer.com/chapter/10.1007/978-1-4302-2899-8_1"",""Chapter"""
A Model-Based System to Automate Cloud Resource Allocation and Optimization;Model-Driven Engineering Languages and Systems;;;;10.1007/978-3-319-11653-2_2;Yu SunJules WhiteSean Eade;2014;http://link.springer.com/chapter/10.1007/978-3-319-11653-2_2;Chapter;"A Model-Based System to Automate Cloud Resource Allocation and Optimization,""Model-Driven Engineering Languages and Systems"","""","""","""",""10.1007/978-3-319-11653-2_2"",""Yu SunJules WhiteSean Eade"",""2014"",""http://link.springer.com/chapter/10.1007/978-3-319-11653-2_2"",""Chapter"""
